Lab;Predio;Sala;Detalhe sala (mesa, armário, etc);Nome Equipamento ;Apelido;Tipo;Fabricante;Moeda;Custo de aquisição;Agência financiadora;ID_grupo (partes do mesmo conjunto têm o mesmo número de ID_grupo);Responsável;Potência elétrica;Unidade potencia elétrica;Tensão elétrica minima (V);Tensão elétrica máxima (V);Detalhe da alimentação elétrica (bivolt, trifásico, etc);Outras alimentações (ar, água, etc);Modelo;Spec1;Unidade Spec1;Spec2;Unidade Spec2;Nacionalidade;Ano de aquisição ;Apelido projeto compra;Sistema de patrimônio principal;Numero de patrimônio principal;Finalidade principal;Intervalo de calibração;Condição Equipamento;Data Atualização;Pasta de documentos;OBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;auxiliar
LPM;2;2;;cut off  ;delta;cortadeira;buelher;;;;;alzira;;;220;;;trifásico;delta;;;;;;2015;neodmio;;5373;cortar amostras metalicas;;em funcionamento;30/09/2022;http://ensinoiptbr.sharepoint.com/sites/controledeativos/documentos%20partilhados/predio02/lab_metalografico/cut%20off%20delta.jpg?web=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSO
LPM;2;2;;cut off  ;;cortadeira;teclago;;;;;alzira;;;220;;;;CM40;;;;;brasileira;;hiperrol;;;cortar amostras metalicas;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSO
LPM;2;2;;cut off  ;cor 100;cortadeira;arotec;BRL;14507,75;;;alzira;;;220;;;trifásico;COR 100;;;;;brasileira;1988;;;29603;cortar amostras metalicas;;em funcionamento;09/11/2022;http://ensinoiptbr.sharepoint.com/sites/controledeativos/documentos%20partilhados/predio02/lab_metalografico/cut%20off%20cor%20100.jpg?web=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSO
LPM;2;2;;cut off  ;;cortadeira;arotec;;;;;alzira;;;;;;;cor 40;;;;;brasileira;;;;004035 / 36113;cortar amostras metalicas de medio porte;;em manutenção;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSO
LPM;2;2;;cut-off ;;cortadeira;buelher;;;;;alzira;;;110;;;monofasico;isomet;;;;;;;;;;cortar amostras metalicas de pequeno porte;;;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;cut-off ;;cortadeira;buelher;;;;;alzira;;;110;;;monofasico;isomet 1000;;;;;;;;;18696;cortar amostras metalicas de pequeno porte;;;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;lixadeira de cinta;;lixadeira;buelher;;;;;alzira;;;110;;;monofasico;surfmet;;;;;;;;;9532 / 06306;lixar amostras  metalicas;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;lixadeira de cinta;;lixadeira;arotec;;;;;alzira;;;110;;;monofasico;ALC 2;;;;;brasileira;;;;;lixar amostras  metalicas;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;lixadeira de pratos;;lixadeira;buelher;;;;;alzira;;;110;;;monofasico;2 pratos;;;;;;;;;;lixar amostras  metalicas ;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;lixadeira de pratos;;lixadeira;buelher;;;;;alzira;;;110;;;monofasico;3 pratos;;;;;;;;;19456;lixar amostras  metalicas;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;secadores;;secador;darfon;;;;;alzira;;;110;;;monofasico;;;;;;brasileira;;;;;secar amostras  ;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;esmeril;;outros;WEG;;;;;alzira;;;110;;;monofasico;2 PEDRAS;;;;;brasileira;;;;17231;desbaste de amostras ;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;embutidora;embutidora media;EMBUTIDORA;buelher;;;;;alzira;;;220;;;monofasico;simplimet 2000;;;;;;1998;FAPESP;;;embutir amostras metalicas até 30mm;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;embutidora;embutidora grande;EMBUTIDORA;impetech;;;;;alzira;;;220;;;monofasico;europe;;;;;sul africana;;;;83417;embutir amostras metalicas até 37mm;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;embutidora;embutidora pequena;EMBUTIDORA;buelher;;;;;alzira;;;110;;;monofasico;simplimet 1000;;;;;;;;;84258;embutir amostras metalicas menores 25mm;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;lixadeira politriz  automatica;;lixadeira;buelher;;;;;alzira;;;220;;;monofasico;vector;;;;;;;FINEP-FUSP HIPERROL;;usp 1261/0035;lixar ou polir amostras automaticamente;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;lixadeira politriz  automatica;;lixadeira;buelher;BRL;49.032,07;;;alzira;;;110;;;;Automet 250;;;;;;2013;;;16817;lixar ou polir amostras automaticamente;;em funcionamento;05/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;cut-off automatizada;;cortadeira;buelher;;;;;alzira;;;;;;;isomet 4000;;;;;;;FINEP-FUSP HIPERROL;;usp 1261/0052;cortar amostras com corte delicado e precisão;;em manutenção;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;compressor ;;compressor;Schulz;;;;;alzira;;;220;;;;MS3/30 ISENTO DE OLEO;;;;;brasileira;;;;;gerar ar  comprimido;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;2;;cut-off automatizada;;cortadeira;buelher;;;;;alzira;;;220;;;;isomet 2000;;;;;;;jica;;;cortar amostras com corte delicado e precisao;;;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;microdureza;;dureza;buelher;;;;;alzira;;;110;;;;micromet 5104;;;;;;;Verde Amarelo;;;medir micro dureza vickers ou Knoop até 1 kg;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;dureza vickers macro e micro ;;dureza;mitutoyo;;;;;alzira;;;110;;;;MVK-H30;;;;;JAPONESA ;;JICA;;;medir macro e micro dureza vickers ;;em manutenção;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;macrodureza;;dureza;buelher;;;;;alzira;;;110;;;;1126;até 50 kg;;;;chinesa;;finep /fusp;;USP 1638/0005;medir macro  dureza vickers;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;dureza rockwell;;dureza;wilson;;;;;alzira;;;;;;;3JR;;;;;brasileira;;;;;medir dureza rockwell ;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;ar condicionado;;ar condicionado;springer;;;;;alzira;;;;;;;maxflex;;;;;brasileira;;;;16575;controle da temperatura da sala;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;forno  para tratamento térmico;;forno;EDG;;;;;alzira;;;220;;;;F1800 3PS ;até 1000ºC;;;;brasileira;;;;;realizar tratamentos termicos até 1000ºC;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;MUFLA ;;mufla;;;;;;alzira;;;;;;;;;;;;;;;;05353 /003122;;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;balança ;;balança;Marte;BRL;924,00;;;alzira;;;110;;;;LC-10;10Kg;;;;brasileira;2010;;;  045148 / 003127;realIzar pesagem até 10 kg com precisãp de ;;em funcionamento;05/10/2020;;calibração nunca foi aferida com certificado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;3;;balança de precisão;GEHAKA ;balança;GEHARA;;;;;alzira;;;110;;;;BG-400;400G;;;;brasileira;;;;83377 /000302 /016572;realIzar pesagem até 400g com precisão de 0,001;;em funcionamento;30/09/2022;;calibração aferida em 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;6;;capela ;;capela;braslab;;;;;alzira;;;;;;;;;;;;;;FINEP-FUSP HIPERROL;;Finep -Fusp - 1261/0032;confeccionar e realizar ataques metalograficos;;em funcionamento;30/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
