Fabricante;Nacionalidade
Buelher;
teclago;brasileira
arotec;brasileira
arotec;brasileira
buelher;
buelher;
buelher;
arotec;brasileira
buelher;
buelher;
darfon;brasileira
WEG;brasileira
buelher;
impetech;sul africana
buelher;
buelher;
buelher;
buelher;
Schulz;brasileira
buelher;
buelher;
mitutoyo;JAPONESA 
buelher;chinesa
wilson;brasileira
springer;brasileira
EDG;brasileira
;
Marte;brasileira
GEHARA;brasileira
braslab;
micronal;brasileira
Thornton;
UNIQUE;brasileira
QUIMIS;brasileira
QUIMIS;
stirrer;brasileira
Brakley;brasileira
fortel ;brasileira
fortel ;brasileira
solotest;brasileira
solotest  ;brasileira
solotest ;brasileira
solotest  ;brasileira
Buelher;
Fortel ;brasileira
Fortel  ;brasileira
solotest ;brasileira
solotest  ;brasileira
solotest ;brasileira
 STRUERS;Dinamarca
Buelher ;
Buelher ;
Darfon;brasileira
brakley;brasileira
Unique  ;brasileira
NIKON;
infoway ;
Carl Zeiss;
hp;BRASILEIRA
leica;
infoway;
Arsec;brasileira
springer;brasileira
LABNET;EUA
LECO;EUA
Milestone;Itália
TRANE;EUA
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
Quimis;Brasileira
BERGHOF;Alemã
BERGHOF;Alemã
BERGHOF;Alemã
VARIAN;EUA
SPECTRO ;Alemã
SPECTRO ;Alemã
Quimis;Brasileira
Nova Ética;Brasileira
MARCONI;Brasileira
GRION;Brasileira
Electrolux;Sueca
SERCON;EUA
SERCON;EUA
KATANAX;EUA
QUIMIS;Brasileira
TECNAL;Brasileira
Spex;EUA
Jenway;EUA
SHIMADZU;Japonesa
Millipore;EUA
Electrolux;Sueca
Horiba;Japonesa
Rigaku;Japonesa
Karcher;BRASILEIRA
SHIMADZU;Japão
Uniklima;Brasil
EMIC;Brasil
MTS;Estados Unidos
Netzch;Alemanha
CHYO;Japão
Struers;Dinamarca
AIP;Estados Unidos
Union Process;Estados Unidos
Arotec;Brasil
Maquinas Renard;Brasil
Yamato;Japão
Fritzch;Alemanha
;Alemanha
Opus cutting solutions - Bonetti Construzione Meccaniche S.R.l.;Italia 
Well;USA
Kawasaki Kobe Heavy Industries LTD;Japão
Produtest;Brasil
Chemplex Industries,inc;USA
MVL máquinas vibratorias Ltda/Donar;Brasil
Engedrar/Engenheiros associados Ltda;Brasil
PSI Phoenix Scientific Industries;Inglaterra
Yokogawa;Japão
Buehler;Estados Unidos
Buehler;Estados Unidos
Buehler;Estados Unidos
Buehler;Estados Unidos
EDG;Brasil
Nova Ética;Brasil
Braslab;
IKA;Japão
Quimis;Brasil
Fisatom;Brasil
Fortel;Brasil
Fortel;Brasil
Struers;Dinamarca
Buehler;Estados Unidos
Ohaus;Estados Unidos
;Estados Unidos
Vita;Alemanha
Elma;Alemanha
Thornton;Estados Unidos
Wild Heerbrugg;
Knebel Produtos Dentarios Ltda;Brasil
Vita Inceramat;Alemanha
Ivoclar;Austria
Etica Equipamentos Cientificos S.A.;Brasil
Vac U Vestor;Canadá
Daido steel Co. Ltd.;Japão
New Japan;Brasil
Ética Equipamentos Científicos S.A.;Brasil
PVA Tepla/Stroje a Mechanizmy, a.s.;Alemanha
PVA Tepla/Stroje a Mechanizmy, a.s.;Alemanha
Stahl Krane Systems;
Fortelab/Inti;BRASILEIRA
Edwards;
Labconco;
Filizola;Brasil
R.D. Webb Company;Estados Unidos
Combustol;Brasil
;
Edwards;Estados Unidos
HPS;Inglaterra
Yamato;Japão
;
Soc. Fabbe. Ltda;Brasil
Yamato;Japão
Inti;Brasil
Inti;Brasil
Jung;Brasil
Niro Atomizer;Japão
Furue Science Co. Ltd;Japão
LEW /veb lokomotivbau-elektrotechnische werke;Alemanha
Ohaus;Estados Unidos
Neophot 30;
Metler Toledo;Suiça
Leica;Alemanha
Zeizz;Alemanha
Zeizz;Alemanha
Alcan;Estados Unidos
Mitutoyo;Japão
Mitutoyo;Japão
Mitutoyo;Japão
Mitutoyo;Japão
;
simpson;brasileira
LUXOR;BRASILEIRA
KUKA;ALEMÃ
EDG;BRASILEIRA
EDG;BRASILEIRA
IPE/CHESTON - INDUCTHERM;BRASILEIRA
STANAT;AMERICANA
ARM;BRASILEIRA
Termolab;Portugal
Advantec Electric Furnace;Japão
Jica;Japão
Tec Maq;BRASILEIRA
Tec Maq;BRASILEIRA
Advantec Toyo Kaisha, Ltd.;Japão
Shimadzu;
Netzsch;
Netzsch;
Netzsch;
Sercon;BRASILEIRA
MKS NGS Division MKS Instruments Inc.;
Marte;BRASILEIRA
Lindberg Blue;
;
Centorr;
Grion;BRASILEIRA
Grion;BRASILEIRA
Shepard Niles;
Minolta;
Fisatom;BRASILEIRA
Yokogawa;China
Makita;
Yokogawa;Japão
esab;brasileira
esab;brasileira
itatiaia;brasileira
yadoya;
starret;
kone;
;
ferrari;
imor;italia/roma
romi;
marcon;
asten;
super sesper;
reico;
mitutoyo;
starret;
DoAll;USA
;
esab;
esab;
savi estufas;
Nardini;
romi;
Marte;Brasileira
Quimis;BRASILEIRA
Quimis;BRASILEIRA
Marconi;BRASILEIRA
Fisatom;BRASILEIRA
;BRASILEIRA
Fortelab;BRASILEIRA
Fortelab;BRASILEIRA
Thermal Technology Inc.;
Termolab ;Portugal
Pfeiffer vacuum;
Marte;BRASILEIRA
Eyela;Japão
Marconi;BRASILEIRA
Lauda;Germany
Inti Fornos e Equipamentos;BRASILEIRA
Grion;BRASILEIRA
Buehler;
Almeida Land AS;
Combustol;
Consarc;
Stokes Vacuum Equipment;
GCA Vacuum Industries/VIP Inductotherm Corp.;
Grion;BRASILEIRA
Marte;
Filizola;
Ohaus;
Marte;
Filizola;
Fortelab;BRASILEIRA
Fortelab;BRASILEIRA
Franho;
ASPÓ;
Omel;BRASILEIRA
ECIL;BRASILEIRA
Heraeus Electro-Nite;
Digi-Tron;Brasileira
Digi-Tron;Brasileira
Husqvarna;Brasileira
Toyota;Brasileira
;
schulz;brasileira
;
;
;
;
;
;
Frech;Alemanha
;
;
;
;
;
;
;
Consul;Brasileira
IPT;Brasileira
Tecnal;Brasileira
Tecnal;Brasileira
Shimadzu;Japonesa 
Tecnal;Brasileira
Quimis;Brasileira
Futura;Brasileira
Quimis;
Digmed;
Quimis;Brasileira
Malvern;
Ohaus;
Ohaus;
Automática Tecnologia S. A.;Brasileira
Tecmaq;
DTA Iron Works Ltd.;Japonesa
DTA Iron Works Ltd.;Japonesa
DTA Iron Works Ltd.;Japonesa
Ohta kikai Seisakusho;Japonesa
Luferco;
Denver;
Quimis;Brasileira
Tecnal;Brasileira
Thorton;
Thorton;
Solab;Brasileira
Toledo do Brasil;
Jung;
Fortelab;
Shimadzu;Japonesa
Eirich;Brasileira
Fabbe;
Ciola;Brasileira
Quimis;Brasileira
Solotest;Brasileira
Ogawa Sampling;Japonesa
Ogawa Sampling;Japonesa
Ogawa Sampling;Japonesa
Tokujo Kosakusho;Japonesa
Faço;Brasileira
Yoshida Seisakusho;Japonesa
Yoshida Seisakusho;Japonesa
