Predio;Andar;Sala;Armario;Prateleira;Apelido
2;Terreo;2;;;
2;Terreo;3;;;
2;Terreo;6;;;
2;Terreo;7;;;
2;Terreo;8;;;
2;Terreo;Laboratório Quimico;;;
2;Terreo;;;;
3;Terreo;Eletrolise;;;
3;Terreo;Sala de DRX;;;
3;Terreo;Sala de Peneiramento;;;
3;Terreo;Sala de Serras e polimento de Silício– porta 1;;;
3;Terreo;Sala do Atomisador e preparacao de amostras;;;
3;Terreo;Sala do forno a vacuo com dispositivo de solidificacao direcional ;;;
3;Terreo;Sala do Forno de cristalizacao de Silício- porta 4;;;
3;Terreo;Sala do HDH;;;
3;Mesanino;Sala dos fornos;;;
3;Terreo;Sala EB;;;
3;Terreo;Sala Microscopia;;;
3;Terreo;Sala Caracterizacao pos;;;
3;Terreo;Terreo;;;
3;Terreo;;;;
3;Terreo;Eletrolise;;;
3;Terreo;Sala de caracterizacao de pos;;;
3;Terreo;Sala HDH;;;
3;Terreo;Sala Forno Alemao PVA;;;
4;Terreo;Conformacao de Ligas Metalicas;;;
4;Mezanino;;;;
4;Terreo;Galpao;;;
4;Terreo;Of. Mecanica;;;
4;Terreo;Sala de Preparacao de Amostras;;;
4;Terreo;Sala dos Fornos de Alta Temperatura;;;
4;Terreo;Terreo;;;
4;Terreo;Rua;;;
4;Terreo;Sala de Fornos de Alta Temperatura;;;
4;Terreo;Sala Preparacao de Amostras;;;
4;Terreo;Torres;;;
5;Terreo;Fornos de fusao;;;
5;Terreo;Fornos para tratamentos termicos;;;
5;Terreo;Injetora de Alumínio;;;
5;Terreo;Terreo;;;
10;Terreo;Copa;;;
10;Terreo;Galpao Moagem;;;
10;Terreo;Laboratório 01 - Flotacao;;;
10;Terreo;Laboratório 02 - Sala de Peneiras;;;
10;Terreo;Laboratório 03 - Caracterizacao de Aglomerados;;;
10;Terreo;Sala 09 - Ensaios de W.I.;;;
10;Terreo;Sala 10 - Secagem;;;
10;Terreo;Sala 12 - Ensaios de concentracao a seco;;;
10;Terreo;;;;
10;Terreo;Sala 11 -  Ensaios de concentracao a umido;;;
10;Terreo;Galpao de cominuicao;;;
10;Terreo;Galpao de Aglomeracao;;;
10;Terreo;Planta Piloto de Moagem;;;
10;Terreo;Galpao de Aglomeracao - Fundos;;;
21;Terreo;Sala de ensaios;;;
21;Mesanino;Mesanino;;;
21;Terreo;Deposito;;;
47;Terreo;Terreo;;;
